CustomerID,Cluster,SegmentLabel,Recency,Frequency,Monetary,AvgOrderValue
12471,4,Champions (High-Value Loyal),2,30,19824.05,660.8016666666666
12472,4,Champions (High-Value Loyal),32,7,6572.110000000001,938.8728571428572
12473,4,Champions (High-Value Loyal),29,5,3938.55,787.71
12474,4,Champions (High-Value Loyal),17,18,7375.79,409.7661111111111
12475,3,Loyal Customers,54,1,723.38,723.38
12476,4,Champions (High-Value Loyal),16,11,6816.42,619.6745454545454
12477,4,Champions (High-Value Loyal),23,6,13219.74,2203.29
12478,3,Loyal Customers,4,1,680.99,680.99
12479,3,Loyal Customers,11,1,527.2,527.2
12480,3,Loyal Customers,28,4,3281.63,820.4075
12481,4,Champions (High-Value Loyal),23,10,5596.320000000001,559.6320000000001
12483,4,Champions (High-Value Loyal),17,8,2484.98,310.6225
12484,4,Champions (High-Value Loyal),33,6,4541.72,756.9533333333334
12488,1,Loyal Customers,10,3,1298.66,432.8866666666667
12489,2,At-Risk (High Value),336,1,334.93,334.93
12490,4,Champions (High-Value Loyal),5,10,5417.93,541.793
12491,1,Loyal Customers,39,1,460.40000000000003,460.40000000000003
12492,1,Loyal Customers,63,2,263.21000000000004,131.60500000000002
12493,2,At-Risk (High Value),166,2,433.74,216.87
12494,1,Loyal Customers,16,7,1246.1000000000001,178.01428571428573
12497,3,Loyal Customers,82,1,1043.1,1043.1
12498,1,Loyal Customers,21,3,403.7,134.56666666666666
12500,4,Champions (High-Value Loyal),23,11,4257.82,387.07454545454544
12501,3,Loyal Customers,337,1,2169.39,2169.39
12502,4,Champions (High-Value Loyal),96,5,3723.87,744.774
12504,1,Loyal Customers,18,2,482.04999999999995,241.02499999999998
12506,0,Potential Loyalists,233,1,73.5,73.5
12507,3,Loyal Customers,134,3,1304.81,434.93666666666667
12508,1,Loyal Customers,26,2,398.27,199.135
12509,2,At-Risk (High Value),284,1,176.5,176.5
12510,3,Loyal Customers,143,2,982.5699999999999,491.28499999999997
12512,0,Potential Loyalists,66,2,138.03,69.015
12513,3,Loyal Customers,113,1,612.29,612.29
12514,3,Loyal Customers,267,1,1017.68,1017.68
12515,2,At-Risk (High Value),353,1,383.7,383.7
12516,3,Loyal Customers,78,2,1312.06,656.03
12517,4,Champions (High-Value Loyal),28,5,2502.84,500.56800000000004
12518,4,Champions (High-Value Loyal),1,5,2056.89,411.378
12519,1,Loyal Customers,64,1,340.84,340.84
12520,4,Champions (High-Value Loyal),79,5,2634.26,526.8520000000001
12521,3,Loyal Customers,143,1,599.68,599.68
12522,0,Potential Loyalists,39,2,192.72,96.36
12523,4,Champions (High-Value Loyal),19,11,1789.77,162.70636363636365
12524,4,Champions (High-Value Loyal),9,8,4485.719999999999,560.7149999999999
12526,3,Loyal Customers,1,3,1316.6599999999999,438.8866666666666
12527,1,Loyal Customers,82,3,348.71000000000004,116.23666666666668
12528,4,Champions (High-Value Loyal),9,6,1933.48,322.24666666666667
12530,3,Loyal Customers,60,4,1662.28,415.57
12531,0,Potential Loyalists,15,1,125.22,125.22
12532,1,Loyal Customers,30,1,349.83000000000004,349.83000000000004
12534,3,Loyal Customers,131,1,1089.18,1089.18
12535,1,Loyal Customers,92,2,716.3499999999999,358.17499999999995
12536,3,Loyal Customers,43,3,12601.830000000002,4200.610000000001
12538,1,Loyal Customers,29,1,363.95,363.95
12539,3,Loyal Customers,22,4,5568.35,1392.0875
12540,4,Champions (High-Value Loyal),20,17,13400.24,788.2494117647059
12541,1,Loyal Customers,30,3,981.18,327.06
12544,1,Loyal Customers,36,1,372.7,372.7
12545,3,Loyal Customers,75,2,1000.39,500.195
12546,3,Loyal Customers,47,2,1161.5,580.75
12547,0,Potential Loyalists,198,2,207.8,103.9
12548,0,Potential Loyalists,166,1,95.19999999999999,95.19999999999999
12550,3,Loyal Customers,79,1,964.83,964.83
12551,2,At-Risk (High Value),358,1,168.0,168.0
12552,1,Loyal Customers,39,2,437.82,218.91
12553,4,Champions (High-Value Loyal),8,10,3692.2799999999997,369.22799999999995
12556,1,Loyal Customers,50,2,603.71,301.855
12557,3,Loyal Customers,16,5,11990.960000000001,2398.192
12558,1,Loyal Customers,8,1,269.96,269.96
12559,2,At-Risk (High Value),311,2,561.71,280.855
12560,3,Loyal Customers,5,3,2134.01,711.3366666666667
12561,2,At-Risk (High Value),303,1,238.85,238.85
12562,4,Champions (High-Value Loyal),8,7,3781.74,540.2485714285714
12564,2,At-Risk (High Value),261,1,456.9,456.9
12565,2,At-Risk (High Value),289,1,145.92,145.92
12566,1,Loyal Customers,86,1,351.65,351.65
12567,4,Champions (High-Value Loyal),23,10,9401.28,940.128
12569,4,Champions (High-Value Loyal),2,32,4124.6900000000005,128.89656250000002
12571,1,Loyal Customers,40,2,519.61,259.805
12572,3,Loyal Customers,9,2,1020.4200000000001,510.21000000000004
12573,2,At-Risk (High Value),227,1,160.54000000000002,160.54000000000002
12574,2,At-Risk (High Value),316,1,218.45,218.45
12576,4,Champions (High-Value Loyal),36,5,1315.83,263.166
12577,1,Loyal Customers,35,3,657.8,219.26666666666665
12578,3,Loyal Customers,21,2,2794.51,1397.255
12579,3,Loyal Customers,78,1,440.42,440.42
12580,2,At-Risk (High Value),247,1,415.7,415.7
12581,1,Loyal Customers,40,1,197.71,197.71
12582,2,At-Risk (High Value),239,2,511.36,255.68
12583,4,Champions (High-Value Loyal),3,15,7281.38,485.42533333333336
12584,4,Champions (High-Value Loyal),4,9,2338.15,259.7944444444445
12585,3,Loyal Customers,234,2,2040.1,1020.05
12586,1,Loyal Customers,17,1,196.94000000000003,196.94000000000003
12587,0,Potential Loyalists,8,1,144.0,144.0
12588,0,Potential Loyalists,39,1,214.89999999999998,214.89999999999998
12589,1,Loyal Customers,29,2,646.6800000000001,323.34000000000003
12590,3,Loyal Customers,211,2,9864.26,4932.13
12591,2,At-Risk (High Value),317,1,452.84999999999997,452.84999999999997
12592,1,Loyal Customers,92,2,437.6,218.8
12593,1,Loyal Customers,109,3,418.1,139.36666666666667
12594,4,Champions (High-Value Loyal),38,10,3338.2200000000003,333.822
12596,1,Loyal Customers,51,2,618.27,309.135
12597,3,Loyal Customers,19,4,3811.22,952.805
12598,4,Champions (High-Value Loyal),10,8,3023.08,377.885
12599,1,Loyal Customers,29,7,1032.58,147.51142857142855
12600,4,Champions (High-Value Loyal),29,10,2599.04,259.904
12601,0,Potential Loyalists,190,5,577.06,115.41199999999999
12602,1,Loyal Customers,59,1,153.12,153.12
12603,1,Loyal Customers,22,1,739.1999999999999,739.1999999999999
12604,1,Loyal Customers,79,2,254.18,127.09
12607,3,Loyal Customers,60,1,1579.51,1579.51
12609,3,Loyal Customers,78,3,1126.85,375.6166666666666
12610,4,Champions (High-Value Loyal),23,5,2099.54,419.908
12611,3,Loyal Customers,52,1,1193.32,1193.32
12612,3,Loyal Customers,74,1,704.0400000000001,704.0400000000001
12613,4,Champions (High-Value Loyal),57,5,3344.38,668.876
12614,2,At-Risk (High Value),278,1,315.6,315.6
12615,3,Loyal Customers,2,4,2291.19,572.7975
12616,1,Loyal Customers,95,2,713.3,356.65
12617,1,Loyal Customers,29,1,355.53,355.53
12618,1,Loyal Customers,22,1,177.31,177.31
12619,4,Champions (High-Value Loyal),16,9,3641.24,404.5822222222222
12620,3,Loyal Customers,15,3,1339.4099999999999,446.46999999999997
12621,4,Champions (High-Value Loyal),2,20,13689.67,684.4835
12622,2,At-Risk (High Value),232,1,180.1,180.1
12623,2,At-Risk (High Value),276,1,305.1,305.1
12624,1,Loyal Customers,106,2,641.13,320.565
12625,3,Loyal Customers,212,2,2683.8199999999997,1341.9099999999999
12626,4,Champions (High-Value Loyal),23,9,6620.48,735.6088888888888
12627,4,Champions (High-Value Loyal),11,7,4478.53,639.79
12628,1,Loyal Customers,4,3,786.46,262.15333333333336
12630,3,Loyal Customers,10,2,1270.88,635.44
12631,3,Loyal Customers,57,1,640.5,640.5
12633,3,Loyal Customers,59,4,2163.98,540.995
12635,3,Loyal Customers,90,2,1689.1799999999998,844.5899999999999
12637,4,Champions (High-Value Loyal),67,8,6021.900000000001,752.7375000000001
12638,3,Loyal Customers,33,1,671.69,671.69
12639,2,At-Risk (High Value),239,1,486.1,486.1
12640,1,Loyal Customers,24,3,1174.5800000000002,391.5266666666667
12641,0,Potential Loyalists,115,1,185.9,185.9
12642,1,Loyal Customers,25,3,1013.26,337.75333333333333
12643,3,Loyal Customers,128,6,3344.6400000000003,557.44
12644,3,Loyal Customers,130,1,477.91,477.91
12645,3,Loyal Customers,34,4,1775.18,443.795
12646,3,Loyal Customers,5,2,1346.9699999999998,673.4849999999999
12647,4,Champions (High-Value Loyal),22,12,3722.8199999999997,310.23499999999996
12648,2,At-Risk (High Value),155,1,318.05,318.05
12649,1,Loyal Customers,107,3,623.51,207.83666666666667
12650,1,Loyal Customers,3,1,314.44,314.44
12651,2,At-Risk (High Value),335,1,114.0,114.0
12652,3,Loyal Customers,331,1,919.98,919.98
12653,3,Loyal Customers,149,2,2209.85,1104.925
12654,1,Loyal Customers,11,5,601.98,120.396
12656,4,Champions (High-Value Loyal),17,5,4051.17,810.234
12657,3,Loyal Customers,11,4,1643.18,410.795
12658,3,Loyal Customers,19,1,686.05,686.05
12659,0,Potential Loyalists,30,1,91.68,91.68
12660,1,Loyal Customers,11,1,245.1,245.1
12662,4,Champions (High-Value Loyal),1,11,3849.78,349.98
12664,4,Champions (High-Value Loyal),8,9,4881.88,542.4311111111111
12665,0,Potential Loyalists,325,1,63.0,63.0
12667,3,Loyal Customers,58,1,620.13,620.13
12668,3,Loyal Customers,12,4,3807.1499999999996,951.7874999999999
12669,3,Loyal Customers,151,3,2744.0299999999997,914.6766666666666
12670,4,Champions (High-Value Loyal),10,5,2996.0499999999997,599.2099999999999
12672,2,At-Risk (High Value),330,1,225.89999999999998,225.89999999999998
12673,1,Loyal Customers,5,2,610.52,305.26
12674,3,Loyal Customers,39,4,1970.6,492.65
12676,1,Loyal Customers,25,6,1331.39,221.89833333333334
12678,4,Champions (High-Value Loyal),42,12,17628.46,1469.0383333333332
12679,1,Loyal Customers,59,4,1113.02,278.255
12680,1,Loyal Customers,1,4,862.81,215.7025
12681,4,Champions (High-Value Loyal),15,22,13787.539999999999,626.7063636363636
12682,4,Champions (High-Value Loyal),4,31,12288.22,396.3941935483871
12683,4,Champions (High-Value Loyal),4,15,8476.57,565.1046666666666
12684,4,Champions (High-Value Loyal),8,7,2283.63,326.23285714285714
12685,4,Champions (High-Value Loyal),28,6,2863.08,477.18
12686,2,At-Risk (High Value),372,1,89.14,89.14
12688,3,Loyal Customers,114,1,4873.8099999999995,4873.8099999999995
12689,3,Loyal Customers,26,2,1247.61,623.805
12690,2,At-Risk (High Value),206,1,389.01,389.01
12691,1,Loyal Customers,28,6,1035.8,172.63333333333333
12693,1,Loyal Customers,127,4,855.9100000000001,213.97750000000002
12694,3,Loyal Customers,70,2,869.6700000000001,434.83500000000004
12695,1,Loyal Customers,7,4,582.1,145.525
12697,1,Loyal Customers,29,3,957.5899999999999,319.19666666666666
12700,3,Loyal Customers,8,4,4939.99,1234.9975
12701,3,Loyal Customers,80,2,797.71,398.855
12702,1,Loyal Customers,20,1,219.0,219.0
12703,1,Loyal Customers,71,1,283.55,283.55
12704,4,Champions (High-Value Loyal),7,8,2340.84,292.605
12705,4,Champions (High-Value Loyal),15,9,6868.29,763.1433333333333
12707,2,At-Risk (High Value),292,1,603.42,603.42
12708,4,Champions (High-Value Loyal),30,10,2712.91,271.291
12709,4,Champions (High-Value Loyal),15,15,9736.52,649.1013333333334
12710,3,Loyal Customers,97,3,1149.02,383.00666666666666
12712,4,Champions (High-Value Loyal),29,13,4396.13,338.1638461538462
12713,3,Loyal Customers,1,1,848.55,848.55
12714,4,Champions (High-Value Loyal),9,5,4708.86,941.7719999999999
12715,1,Loyal Customers,106,1,353.86,353.86
12716,3,Loyal Customers,4,2,1053.49,526.745
12717,3,Loyal Customers,151,2,1030.98,515.49
12718,1,Loyal Customers,71,1,238.25,238.25
12719,1,Loyal Customers,5,2,644.95,322.475
12720,4,Champions (High-Value Loyal),3,25,5781.73,231.26919999999998
12721,4,Champions (High-Value Loyal),32,6,2656.13,442.68833333333333
12722,1,Loyal Customers,85,4,997.63,249.4075
12723,1,Loyal Customers,4,5,725.0699999999999,145.01399999999998
12724,1,Loyal Customers,5,4,1031.41,257.8525
12725,2,At-Risk (High Value),371,1,427.8,427.8
12726,4,Champions (High-Value Loyal),28,7,2609.1,372.7285714285714
12727,4,Champions (High-Value Loyal),11,7,3980.7,568.6714285714286
12728,1,Loyal Customers,71,4,836.3299999999999,209.08249999999998
12729,1,Loyal Customers,114,1,453.01,453.01
12731,4,Champions (High-Value Loyal),24,12,18895.91,1574.6591666666666
12732,2,At-Risk (High Value),180,1,236.26000000000002,236.26000000000002
12733,2,At-Risk (High Value),234,1,383.95,383.95
12734,2,At-Risk (High Value),353,1,110.39999999999999,110.39999999999999
12735,2,At-Risk (High Value),315,2,779.5699999999999,389.78499999999997
12736,2,At-Risk (High Value),333,1,234.0,234.0
12738,2,At-Risk (High Value),372,1,155.35,155.35
12739,3,Loyal Customers,78,2,1013.04,506.52
12740,3,Loyal Customers,64,1,427.6,427.6
12743,1,Loyal Customers,134,2,546.4300000000001,273.21500000000003
12744,4,Champions (High-Value Loyal),52,7,21279.29,3039.8985714285714
12747,4,Champions (High-Value Loyal),2,11,4196.01,381.4554545454546
12748,4,Champions (High-Value Loyal),1,209,33719.73,161.3384210526316
12749,4,Champions (High-Value Loyal),4,5,4090.88,818.176
12750,2,At-Risk (High Value),129,1,275.88,275.88
12752,3,Loyal Customers,81,1,4366.78,4366.78
12753,3,Loyal Customers,23,6,21429.39,3571.565
12754,3,Loyal Customers,236,3,3010.74,1003.5799999999999
12755,3,Loyal Customers,281,2,3811.95,1905.975
12756,0,Potential Loyalists,87,1,112.07999999999998,112.07999999999998
12757,4,Champions (High-Value Loyal),16,13,7857.1,604.3923076923077
12758,3,Loyal Customers,117,2,2791.59,1395.795
12759,3,Loyal Customers,52,3,1531.44,510.48
12762,3,Loyal Customers,8,2,1898.52,949.26
12763,1,Loyal Customers,138,2,494.08,247.04
12764,3,Loyal Customers,317,1,1693.88,1693.88
12766,4,Champions (High-Value Loyal),4,7,6989.63,998.5185714285715
12769,3,Loyal Customers,239,1,1143.6,1143.6
12770,3,Loyal Customers,211,1,1351.45,1351.45
12772,3,Loyal Customers,60,1,892.47,892.47
12775,1,Loyal Customers,17,5,1386.04,277.20799999999997
12778,1,Loyal Customers,20,6,822.23,137.03833333333333
12779,4,Champions (High-Value Loyal),38,8,3981.3599999999997,497.66999999999996
12781,3,Loyal Customers,64,2,826.74,413.37
12782,4,Champions (High-Value Loyal),5,5,2330.92,466.184
12783,4,Champions (High-Value Loyal),2,6,2225.91,370.98499999999996
12784,1,Loyal Customers,9,2,574.42,287.21
12785,2,At-Risk (High Value),364,1,311.95,311.95
12787,1,Loyal Customers,10,3,463.65999999999997,154.5533333333333
12789,0,Potential Loyalists,65,1,91.85,91.85
12790,2,At-Risk (High Value),192,1,324.92,324.92
12791,2,At-Risk (High Value),374,1,192.60000000000002,192.60000000000002
12792,2,At-Risk (High Value),257,1,400.53999999999996,400.53999999999996
12793,2,At-Risk (High Value),335,2,545.48,272.74
12794,3,Loyal Customers,53,2,860.41,430.205
12795,1,Loyal Customers,19,1,430.48,430.48
12797,2,At-Risk (High Value),366,1,254.03,254.03
12798,3,Loyal Customers,10,3,6977.04,2325.68
12802,2,At-Risk (High Value),187,1,427.58,427.58
12808,1,Loyal Customers,37,3,483.65000000000003,161.21666666666667
12809,2,At-Risk (High Value),178,1,489.31,489.31
12811,2,At-Risk (High Value),261,3,514.85,171.61666666666667
12812,1,Loyal Customers,45,1,229.64000000000001,229.64000000000001
12814,0,Potential Loyalists,102,1,125.92,125.92
12815,3,Loyal Customers,148,2,1063.46,531.73
12816,1,Loyal Customers,96,2,572.2,286.1
12817,2,At-Risk (High Value),281,1,166.04,166.04
12818,3,Loyal Customers,262,1,1542.08,1542.08
12820,1,Loyal Customers,3,4,942.34,235.585
12821,0,Potential Loyalists,214,1,92.72,92.72
12822,3,Loyal Customers,71,2,948.88,474.44
12823,1,Loyal Customers,75,5,1759.5,351.9
12824,1,Loyal Customers,60,1,397.12,397.12
12826,4,Champions (High-Value Loyal),3,7,1474.72,210.67428571428573
12827,1,Loyal Customers,6,3,430.15,143.38333333333333
12828,1,Loyal Customers,3,6,1018.71,169.785
12829,2,At-Risk (High Value),337,2,293.0,146.5
12830,3,Loyal Customers,38,6,6814.64,1135.7733333333333
12831,2,At-Risk (High Value),262,1,215.05,215.05
12832,1,Loyal Customers,32,2,383.03000000000003,191.51500000000001
12833,2,At-Risk (High Value),145,1,417.38,417.38
12834,2,At-Risk (High Value),283,1,312.38,312.38
12836,4,Champions (High-Value Loyal),59,4,2612.86,653.215
12837,0,Potential Loyalists,173,1,134.1,134.1
12838,1,Loyal Customers,34,2,683.1300000000001,341.56500000000005
12839,4,Champions (High-Value Loyal),3,14,5591.42,399.38714285714286
12840,3,Loyal Customers,144,4,2726.77,681.6925
12841,4,Champions (High-Value Loyal),5,25,4022.35,160.894
12842,3,Loyal Customers,70,2,1118.99,559.495
12843,4,Champions (High-Value Loyal),66,8,1702.26,212.7825
12844,1,Loyal Customers,29,2,325.96000000000004,162.98000000000002
12845,2,At-Risk (High Value),267,4,354.09,88.5225
12847,3,Loyal Customers,22,1,871.54,871.54
12849,3,Loyal Customers,31,2,1050.8899999999999,525.4449999999999
12851,1,Loyal Customers,97,1,135.18,135.18
12852,2,At-Risk (High Value),295,1,311.55,311.55
12853,4,Champions (High-Value Loyal),135,6,1957.1,326.18333333333334
12854,3,Loyal Customers,79,3,1324.5,441.5
12855,0,Potential Loyalists,373,1,38.1,38.1
12856,4,Champions (High-Value Loyal),8,6,2179.93,363.32166666666666
12857,3,Loyal Customers,211,2,1106.4,553.2
12863,1,Loyal Customers,52,1,521.2,521.2
12864,0,Potential Loyalists,138,1,147.12,147.12
12865,3,Loyal Customers,26,2,1568.23,784.115
12866,2,At-Risk (High Value),283,1,559.12,559.12
12867,4,Champions (High-Value Loyal),26,7,4036.8199999999997,576.6885714285714
12868,4,Champions (High-Value Loyal),186,6,1607.0600000000002,267.84333333333336
12871,1,Loyal Customers,84,2,380.64,190.32
12872,2,At-Risk (High Value),327,2,599.97,299.985
12873,2,At-Risk (High Value),282,1,374.0,374.0
12875,2,At-Risk (High Value),143,2,343.2300000000001,171.61500000000004
12876,3,Loyal Customers,58,2,2218.02,1109.01
12877,4,Champions (High-Value Loyal),4,12,1535.77,127.98083333333334
12878,2,At-Risk (High Value),236,2,854.99,427.495
12879,1,Loyal Customers,45,3,573.22,191.07333333333335
12881,2,At-Risk (High Value),276,1,298.0,298.0
12882,3,Loyal Customers,9,2,1463.04,731.52
12883,1,Loyal Customers,25,4,703.47,175.8675
12884,0,Potential Loyalists,88,1,309.05,309.05
12885,3,Loyal Customers,63,3,1175.22,391.74
12886,3,Loyal Customers,68,2,1378.4,689.2
12888,0,Potential Loyalists,214,2,354.12,177.06
12890,1,Loyal Customers,24,1,380.46999999999997,380.46999999999997
12891,2,At-Risk (High Value),186,3,331.0,110.33333333333333
12893,1,Loyal Customers,31,1,188.14,188.14
12895,1,Loyal Customers,42,2,372.8,186.4
12897,0,Potential Loyalists,205,2,216.5,108.25
12901,4,Champions (High-Value Loyal),9,28,17654.54,630.5192857142857
12902,2,At-Risk (High Value),265,1,138.68,138.68
12904,1,Loyal Customers,18,2,509.58,254.79
12906,4,Champions (High-Value Loyal),12,5,2919.81,583.962
12908,2,At-Risk (High Value),176,2,750.0,375.0
12909,4,Champions (High-Value Loyal),40,5,2178.67,435.73400000000004
12910,4,Champions (High-Value Loyal),23,8,3075.04,384.38
12912,1,Loyal Customers,3,5,1662.3,332.46
12913,4,Champions (High-Value Loyal),5,5,2483.63,496.726
12915,0,Potential Loyalists,149,2,363.65,181.825
12916,3,Loyal Customers,139,4,3006.15,751.5375
12917,2,At-Risk (High Value),128,1,594.0,594.0
12919,1,Loyal Customers,8,6,1335.19,222.53166666666667
12920,1,Loyal Customers,17,1,164.23,164.23
12921,4,Champions (High-Value Loyal),9,37,16587.09,448.29972972972973
12922,3,Loyal Customers,161,1,405.38,405.38
12923,1,Loyal Customers,64,1,176.97,176.97
12924,1,Loyal Customers,88,4,933.7,233.425
12925,1,Loyal Customers,5,2,694.05,347.025
12928,4,Champions (High-Value Loyal),35,5,2062.7,412.53999999999996
12929,0,Potential Loyalists,312,1,117.85,117.85
12930,1,Loyal Customers,78,2,415.8,207.9
12931,4,Champions (High-Value Loyal),22,15,42055.96,2803.730666666667
12933,1,Loyal Customers,24,3,607.53,202.51
12935,4,Champions (High-Value Loyal),2,7,2160.7,308.6714285714285
12936,1,Loyal Customers,17,4,1063.9,265.975
12937,4,Champions (High-Value Loyal),15,4,1504.27,376.0675
12938,0,Potential Loyalists,26,1,114.14,114.14
12939,3,Loyal Customers,64,8,11581.8,1447.725
12940,3,Loyal Customers,55,2,913.54,456.77
12942,1,Loyal Customers,131,3,683.9,227.96666666666667
12944,1,Loyal Customers,36,2,604.51,302.255
12945,2,At-Risk (High Value),288,1,462.95,462.95
12947,4,Champions (High-Value Loyal),144,6,1603.99,267.33166666666665
12948,4,Champions (High-Value Loyal),16,7,2064.95,294.99285714285713
12949,4,Champions (High-Value Loyal),31,8,4167.22,520.9025
12950,3,Loyal Customers,2,3,1843.0,614.3333333333334
12951,1,Loyal Customers,9,6,1064.0700000000002,177.34500000000003
12952,1,Loyal Customers,6,4,1387.79,346.9475
12953,1,Loyal Customers,10,1,329.85,329.85
12955,4,Champions (High-Value Loyal),1,11,4757.16,432.4690909090909
12956,0,Potential Loyalists,306,1,108.07,108.07
12957,4,Champions (High-Value Loyal),10,8,4017.54,502.1925
12962,1,Loyal Customers,7,2,266.39000000000004,133.19500000000002
